,name,rating,city,niche_grade,number_school,number_student
31,Duneland School Corporation,#32 Best School Districts in Chicago Area,"CHESTERTON, IN",grade A,9,"5,865"
32,Lake Central School Corporation,#33 Best School Districts in Chicago Area,"SAINT JOHN, IN",grade A,10,"9,587"
33,DuPage High School District No. 88,#34 Best School Districts in Chicago Area,"ADDISON, IL",grade A,2,"3,923"
34,Leyden Community High School District No. 212,#35 Best School Districts in Chicago Area,"FRANKLIN PARK, IL",grade A,2,"3,396"
35,Union Township School Corporation,#36 Best School Districts in Chicago Area,"VALPARAISO, IN",grade A,4,"1,463"
36,Valparaiso Community Schools,#37 Best School Districts in Chicago Area,"VALPARAISO, IN",grade A minus,12,"6,278"
37,Oswego Community Unit School District No. 308,#38 Best School Districts in Chicago Area,"OSWEGO, IL",grade A minus,22,"17,650"
38,Woodstock Community Unit School District No. 200,#39 Best School Districts in Chicago Area,"WOODSTOCK, IL",grade A minus,12,"6,332"
39,McHenry Community High School District No. 156,#40 Best School Districts in Chicago Area,"MCHENRY, IL",grade A minus,2,"2,146"
40,Community Unit School District No. 300,#41 Best School Districts in Chicago Area,"ALGONQUIN, IL",grade B+,28,"20,613"
41,Plainfield School District No. 202,#42 Best School Districts in Chicago Area,"PLAINFIELD, IL",grade B+,30,"26,033"
42,Community High School District No. 218,#43 Best School Districts in Chicago Area,"OAK LAWN, IL",grade B+,4,"5,342"
43,Valley View Community Unit School District No. 365-U,#44 Best School Districts in Chicago Area,"ROMEOVILLE, IL",grade B+,20,"15,979"
44,School Town of Highland,#45 Best School Districts in Chicago Area,"HIGHLAND, IN",grade B+,6,"3,224"
45,Hanover Community School Corporation,#46 Best School Districts in Chicago Area,"CEDAR LAKE, IN",grade B+,4,"2,461"
46,Yorkville Community Unit School District No. 115,#47 Best School Districts in Chicago Area,"YORKVILLE, IL",grade B+,9,"6,255"
47,Wauconda Community Unit School District No. 118,#48 Best School Districts in Chicago Area,"WAUCONDA, IL",grade B+,6,"4,501"
48,School City of Hobart,#49 Best School Districts in Chicago Area,"HOBART, IN",grade B+,6,"4,088"
49,Griffith Public Schools,#50 Best School Districts in Chicago Area,"GRIFFITH, IN",grade B,5,"2,260"
